entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
NEUTRAL	621.0	2.2	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A climbing boy rescues the fearful cat from over the wall
NEUTRAL	622.0	4.1	A fearful little boy is on a climbing wall	A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope
NEUTRAL	625.0	3.9	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A fearful little boy is on a climbing wall
ENTAILMENT	626.0	4.8	A dad is launching his daughter into a swimming pool	A father is launching the daughter in a swimming pool
NEUTRAL	628.0	3.2	A father is in the swimming pool during his daughters launch	A father is launching the daughter in a swimming pool
ENTAILMENT	629.0	4.8	The man is tossing a kid into the swimming pool that is near the ocean	One man is tossing a kid into the swimming pool that is near the ocean
NEUTRAL	631.0	2.2	The man is tossing a kid into the swimming pool that is near the ocean	A kid swimming in the ocean is tossing a coin into the pool, near the man
NEUTRAL	632.0	3.9	One man is tossing a kid into the swimming pool that is near the ocean	A father is launching the daughter in a swimming pool
NEUTRAL	634.0	1.6	A kid swimming in the ocean is tossing a coin into the pool, near the man	A father is launching the daughter in a swimming pool
NEUTRAL	637.0	2.515	A father is in the swimming pool during his daughters launch	The man is tossing a kid into the swimming pool that is near the ocean
NEUTRAL	638.0	3.8	A father is launching the daughter in a swimming pool	The man is tossing a kid into the swimming pool that is near the ocean
NEUTRAL	641.0	3.1	A social climber is tying a man to a cliff with a rope	One man is climbing a cliff with a rope
NEUTRAL	643.0	3.9	A person is standing in front of a rock with a rope, which is pink	A person is climbing a rock with a rope, which is pink
ENTAILMENT	645.0	4.3	A rock is being climbed by a person with a rope, which is pink	One man is climbing a cliff with a rope
NEUTRAL	646.0	3.4	One man is climbing a cliff with a rope	A person is standing in front of a rock with a rope, which is pink
ENTAILMENT	648.0	4.1	A person is climbing a rock with a rope, which is pink	One man is climbing the cliff with a rope
NEUTRAL	649.0	2.8	A person is climbing a rock with a rope, which is pink	One man is descending a cliff with a rope
NEUTRAL	650.0	2.685	A person is climbing a rock with a rope, which is pink	A social climber is tying a man to a cliff with a rope
CONTRADICTION	653.0	4.1	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock
ENTAILMENT	655.0	4.7	A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors
NEUTRAL	657.0	3.2	A young child is climbing a rock climbing wall which is indoors	A child is indoors watching a program about some young climbers on a rock wall.
NEUTRAL	660.0	3.4	A child is indoors watching a program about some young climbers on a rock wall.	The young boy is climbing the wall made of rock
NEUTRAL	661.0	4.3	One young boy is climbing a wall made of rock	A young child is climbing a rock climbing wall which is indoors
NEUTRAL	663.0	2.9	A young climber is making a rock wall for the boys	A young child is climbing a rock climbing wall which is indoors
CONTRADICTION	668.0	3.8	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air
NEUTRAL	671.0	2.9	One man is doing a bicycle trick in midair	The cyclist isn't performing a trick in the air
NEUTRAL	672.0	3.0	One man is doing a bicycle trick in midair	The air is tricking a performing cyclist
ENTAILMENT	676.0	4.9	A dog, which is black, and a white one are staring at each other in the street	A dog, which is black, and another one, which is white, are staring at each other in the street
NEUTRAL	678.0	3.1	A dog, which is black, and a white one are staring at each other in the street	One white dog is staring at the black street
ENTAILMENT	679.0	4.6	Two dogs of different breeds are looking angrily at each other across a street	Two dogs of different breeds are looking at each other across a street
CONTRADICTION	680.0	3.9	Two dogs of different breeds are looking at each other across a street	There are no dogs of different breeds looking at each other across a street
NEUTRAL	685.0	4.1	A dog, which is black, and another one, which is white, are staring at each other in the street	Two dogs of different breeds are looking at each other across a street
NEUTRAL	690.0	3.4	A dog next to a tree, which is probably a pine, is dropping a bucket	A dog next to a tree, which is probably a pine, is biting a bucket
NEUTRAL	691.0	3.2	A dog next to a tree, which is probably a pine, is biting a bucket	A dog in a bucket is biting a tree which is probably a pine
ENTAILMENT	692.0	5.0	A dog which is furry and black is in a backyard and is carrying a basket in its mouth.	A dog which is furry and black is in a back yard and is carrying a basket in its mouth
CONTRADICTION	693.0	3.7	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	There is no dog which is furry and black in a back yard carrying a basket in its mouth.
NEUTRAL	696.0	3.2	A dog next to a tree, which is probably a pine, is biting a bucket	There is no dog which is furry and black in a back yard carrying a basket in its mouth.
NEUTRAL	697.0	3.4	A dog in the backyard is carrying black fur in a basket in its mouth.	A dog next to a tree, which is probably a pine, is biting a bucket
NEUTRAL	699.0	2.8	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog next to a tree, which is probably a pine, is dropping a bucket
ENTAILMENT	702.0	4.7	Two persons of large size are sitting on a park bench and they have a bottle of soda between them	Two large persons are sitting on a park bench and they have a bottle of soda between them
CONTRADICTION	703.0	4.1	Two large persons are sitting on a park bench and they have a bottle of soda between them	Two large persons are standing near a park bench and they have nothing between them
ENTAILMENT	704.0	3.7	Two large park benches have a person sitting and a bottle of soda between them	Two large persons are sitting on a park bench and they have a bottle of soda between them
NEUTRAL	709.0	3.3	A man and a woman are sitting comfortably on the bench	Two persons of large size are sitting on a park bench and they have a bottle of soda between them
NEUTRAL	715.0	3.7	The man is racing for the lead 	A man is leading the race
NEUTRAL	722.0	3.1	A few men in a competition are running outside	One man is leading the race
NEUTRAL	723.0	3.7	A man is bringing up the rear of the race	A few men in a competition are running outside
NEUTRAL	725.0	3.8	A few men in a competition are running outside	A man is leading the race
CONTRADICTION	727.0	3.6	A man with a camera is studying the subject	There is no man with a camera studying the subject
NEUTRAL	728.0	3.6	A man with a camera is studying the subject	The study subject is a camera man
ENTAILMENT	729.0	4.9	The man with the dyed purple hat is operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos
CONTRADICTION	730.0	3.4	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos
NEUTRAL	731.0	3.4	The man with the dyed purple hat is operating a camera that makes videos	A man with a camera is studying the subject
NEUTRAL	732.0	3.2	A man with a camera is studying the subject	The man in the purple hat isn't operating a camera that makes videos
NEUTRAL	733.0	3.6	The man in the purple hat is operating a camera that makes videos	The subject is being studied by a man with a camera
NEUTRAL	734.0	3.2	The man in the purple hat is operating a camera that makes videos	There is no man with a camera studying the subject
NEUTRAL	735.0	2.8	The study subject is a camera man	The man in the purple hat is operating a camera that makes videos
NEUTRAL	736.0	3.3	The man in the purple hat is operating a camera that makes videos	A man with a camera is studying the subject
ENTAILMENT	737.0	4.8	The bride and the groom are leaving after the marriage	The bride and the groom are leaving after the wedding
NEUTRAL	738.0	4.3	The bride and the groom are arriving after the wedding	The bride and the groom are leaving after the wedding
ENTAILMENT	741.0	4.4	A married couple is walking up the aisle	A married couple is walking down the aisle
NEUTRAL	745.0	2.8	The priest is walking down the aisle to marry a couple	The bride and the groom are leaving after the wedding
NEUTRAL	746.0	3.6	The bride and the groom are leaving after the marriage	A married couple is walking down the aisle
NEUTRAL	747.0	4.0	The bride and the groom are arriving after the wedding	A married couple is walking down the aisle
NEUTRAL	748.0	2.6	A married couple is walking down the aisle	The bride is leaving the groom after the wedding
NEUTRAL	749.0	3.4	A married couple is walking down the aisle	The bride and the groom are leaving after the wedding
ENTAILMENT	752.0	4.8	The presentation is being watched by a classroom of students	The presentation is being attended by a classroom of students
NEUTRAL	754.0	3.4	The presentation is being attended by a classroom of students	A classroom is full of students
NEUTRAL	757.0	3.0	The presentation is being watched by a classroom of students	A classroom is empty
NEUTRAL	760.0	3.2	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	A boy at the bottom of a hill covered in snow is naked and is sitting on his knees
NEUTRAL	761.0	3.5	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow
ENTAILMENT	762.0	4.5	The kid is happily sliding in the snow	The kid is sliding in the snow
NEUTRAL	764.0	3.4	A snow slide is full of kids	The kid is sliding in the snow
ENTAILMENT	766.0	3.4	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	The kid is still in the snow
NEUTRAL	769.0	2.7	The kid is sliding in the snow	A boy at the bottom of a hill covered in snow is naked and is sitting on his knees
ENTAILMENT	772.0	4.5	A woman and a dog are peacefully sitting on a tree stump	A woman and a dog are sitting on a tree stump
ENTAILMENT	774.0	4.4	A woman, who is old, is near a dog that has a white coat	A woman, who is old, is near a white dog
NEUTRAL	777.0	2.4	A woman, who is old, is far from a white dog	A woman and a dog are sitting on a tree stump
NEUTRAL	783.0	3.5	A man is watering the grass and excitedly playing with a dog	A dog is excitedly playing with water in the grass
ENTAILMENT	784.0	4.5	The dog is biting some droplets of water	The dog is snapping at some droplets of water
CONTRADICTION	785.0	4.0	The dog is snapping at some droplets of water	The dog isn't snapping at some droplets of water
NEUTRAL	789.0	2.9	A dog is excitedly playing with water in the grass	A snap is depicting some water falling in droplets on the dog
